Country,HD2010,EF2010,HD2011,EF2011,HD2012,EF2012,HD2013,EF2013,HD2014,EF2014,HD2015,EF2015,HD2016,EF2016
Albania,740,7.35,759,7.24,771,7.2,781,7.27,787,7.48,788,7.53,788,7.54
Algeria,730,5.07,738,5.06,737,4.95,746,5.04,749,5.01,751,4.83,755,4.99
Angola,510,5.3,525,5.16,537,5.28,547,5.25,557,5.13,565,5.44,570,5.17
Argentina,818,5.59,823,5.58,823,5.04,824,4.88,825,4.49,828,4.98,828,4.84
Armenia,729,7.56,733,7.71,737,7.75,743,7.69,746,7.7,748,7.59,751,7.57
Australia,926,8.02,928,8.01,932,7.96,926,7.92,929,8.02,933,8,935,7.98
Austria,895,7.62,897,7.65,899,7.62,896,7.63,904,7.68,906,7.64,909,7.58
Azerbaijan,732,5.97,731,6.15,736,6.32,741,6.2,746,6.4,749,6.38,749,6.49
Bahamas,795,7.38,795,7.32,797,7.31,797,7.33,796,7.32,799,7.35,800,7.34
Bahrain,796,7.47,798,7.49,800,7.33,807,7.33,810,7.36,834,7.37,839,7.56
Bangladesh,549,6.35,559,6.34,567,6.24,572,6.37,572,6.3,588,6.33,599,6.3
Barbados,799,6.63,802,6.63,811,6.67,812,6.68,812,6.63,812,6.5,814,6.43
Belarus,792,,798,,803,,808,,811,,811,,812,6.23
Belgium,903,7.39,904,7.38,905,7.35,908,7.37,910,7.59,913,7.43,915,7.32
Belize,693,6.52,699,7.12,706,7.13,707,7.03,710,6.9,715,6.81,722,6.86
Benin,473,6.05,479,6,489,5.74,500,6.44,505,5.94,510,5.78,512,5.98
Bhutan,571,,581,,591,,594,6.93,601,6.99,606,7.11,610,7.02
Bolivia,656,6.35,660,6.31,663,6.38,673,6.4,678,6.21,685,6.05,692,6.23
Bosnia and Herzegovina,714,6.63,722,6.7,741,6.79,748,6.61,754,6.78,755,6.63,765,6.6
Botswana,660,7.02,676,7.22,687,7.25,699,7.27,709,7.24,714,7.35,719,7.43
Brazil,726,6.46,730,6.45,734,6.24,752,6.05,755,5.93,755,5.75,757,5.75
Brunei Darussalam,832,7.07,836,6.92,843,7.07,844,6.75,845,6.89,843,6.77,844,6.93
Bulgaria,779,7.3,782,7.37,786,7.37,792,7.33,797,7.37,807,7.4,812,7.41
Burkina Faso,375,5.93,385,5.95,394,5.81,401,5.96,405,6.02,413,6.03,420,6.05
Burundi,402,5.18,410,5.23,416,5.22,422,5.96,429,5.97,427,5.87,427,5.92
Cabo Verde,626,7.08,633,6.98,634,6.92,641,7.17,641,7.16,643,7.2,645,7.17
Cambodia,535,6.08,542,6.03,548,6.05,555,5.95,561,5.9,566,5.79,572,5.82
Cameroon,471,8.01,513,7.95,524,7.99,531,8.03,540,8.22,548,7.91,556,7.98
Canada,895,6.38,899,6.53,906,6.56,910,6.62,914,6.56,917,6.67,920,6.68
Central African Republic,355,5.04,363,5.06,370,4.93,351,5.71,355,5.16,362,4.63,372,5.11
Chad,374,5.44,385,4.97,393,4.72,399,4.99,406,4.97,403,5.23,398,5.44
Chile,800,7.89,812,7.91,818,7.81,830,7.88,834,7.84,839,7.79,843,7.8
China,702,6.26,711,6.32,719,6.37,727,6.39,735,6.38,742,6.39,749,6.46
Colombia,729,6.74,735,6.82,736,6.72,746,6.67,750,6.58,753,6.55,759,6.5
Comoros,513,5.38,524,5.28,529,5.2,532,5.36,534,5.23,535,5.78,537,5.67
Congo,557,4.74,559,4.48,571,4.39,581,4.55,595,4.69,614,4.81,613,5.02
Congo(D.R.),416,7.28,419,7.57,423,7.53,429,7.48,441,7.5,445,7.51,453,7.55
Costa Rica,754,5.69,768,5.7,774,5.64,777,5.9,785,6,786,5.93,789,6
Croatia,811,6.68,817,6.9,820,6.93,825,6.9,827,7,830,7.04,832,6.96
Cyprus,850,7.73,853,7.67,852,7.47,854,7.07,856,7.33,864,7.69,869,7.71
Czechia,862,7.22,865,7.26,865,7.42,874,7.37,879,7.46,882,7.49,885,7.56
Denmark,910,7.77,922,7.71,924,7.56,926,7.68,928,7.81,926,7.75,928,7.77
Dominican Republic,701,7.16,704,7.18,708,7.03,712,7.24,724,7.26,733,7.24,738,7.18
Ecuador,716,5.87,742,5.88,740,6.03,751,5.88,750,5.66,758,6.09,756,6.06
Egypt,666,6.35,669,6.18,676,6.14,681,6.01,683,5.78,690,5.77,695,5.72
El Salvador,659,7.21,656,7.14,660,7.09,662,7.2,660,7.35,660,7.14,662,7.15
Estonia,844,7.82,853,7.74,859,7.68,863,7.7,865,7.79,871,7.93,875,7.86
Ethiopia,412,5.6,423,5.16,429,5.58,439,5.53,446,5.46,453,5.55,460,5.73
Fiji,694,6.93,698,7.04,702,6.84,707,6.44,712,6.63,718,6.82,718,6.79
Finland,903,7.79,907,7.87,908,7.81,916,7.7,918,7.79,919,7.71,922,7.65
France,872,7.42,876,7.33,878,7.27,882,7.23,887,7.36,888,7.35,887,7.25
Gabon,658,5.54,663,5.44,672,5.37,679,5.42,688,5.57,692,5.78,696,5.84
Gambia,437,7.24,435,7.04,441,6.87,448,7.32,449,7.35,454,7.22,456,7.34
Georgia,732,7.5,738,7.64,749,7.75,756,7.87,764,8.02,771,7.98,776,8.02
Germany,920,7.59,925,7.68,927,7.64,927,7.66,930,7.67,933,7.67,936,7.69
Ghana,554,6.75,563,6.76,570,6.44,578,6.55,577,6.41,585,6.52,587,6.6
Greece,857,6.81,853,6.69,856,6.67,858,6.88,866,6.81,868,6.45,866,6.46
Guatemala,602,7.15,607,7.22,613,7.41,616,7.66,643,7.65,647,7.69,648,7.64
Guinea,408,,421,,431,,439,5.65,446,5.62,449,5.74,456,5.93
Guinea-Bissau,426,5.05,435,5.62,437,5.96,441,5.07,450,5.35,453,5.58,457,5.25
Guyana,639,6.21,648,6.31,652,6.3,656,6.04,660,6.21,663,6.52,666,6.31
Haiti,467,6.21,474,6.29,478,6,483,6.36,488,6.58,492,6.54,497,6.51
Honduras,598,7.21,601,7.28,600,7.16,603,7.13,606,7.26,613,7.35,618,7.06
Hong Kong,901,9.02,904,8.99,911,8.96,916,8.96,924,9,927,8.97,931,8.97
Hungary,826,7.31,823,7.38,826,7.33,835,7.34,833,7.36,835,7.19,838,7.22
Iceland,892,6.48,901,6.86,908,6.94,920,7.02,924,7.23,927,7.25,932,7.22
India,581,6.39,590,6.57,600,6.54,607,6.36,618,6.23,627,6.61,637,6.63
Indonesia,666,6.85,674,6.87,682,6.84,688,7.01,691,7.02,696,7,700,7.16
Iran ,756,5.91,767,5.63,782,4.96,785,5.04,788,4.89,789,5.4,799,6.03
Iraq,652,,658,,662,,662,,662,,665,,672,5.4
Ireland,890,7.67,894,7.83,899,7.98,908,8.04,920,8.12,926,8.25,936,8.07
Israel,887,7.32,892,7.35,893,7.36,895,7.42,900,7.45,901,7.47,902,7.49
Italy,871,7.19,875,7.22,874,7.22,873,7.19,874,7.25,875,7.31,878,7.27
Jamaica,723,6.97,723,7,722,7.14,720,7.3,720,7.13,722,7.25,722,7.18
Japan,885,7.59,890,7.49,895,7.66,900,7.54,904,7.52,906,7.46,910,7.47
Jordan,728,7.45,725,7.48,726,7.56,720,7.65,720,7.54,721,7.47,722,7.46
Kazakhstan,764,6.94,772,6.97,782,7.14,791,7.13,798,7.23,806,7.26,808,7.11
Kenya,533,6.92,540,6.94,545,7.09,551,7.12,556,7.1,562,7.11,568,7.2
Korea ,882,7.51,888,7.52,890,7.45,893,7.36,896,7.55,899,7.55,901,7.53
Kuwait,794,6.95,796,6.93,800,6.93,798,6.84,800,6.77,807,6.59,809,6.75
